;[u'Glen and Glenda', u'The Marriage Circle', u'Padma Nadir Majhi', u'The Virgin Soldiers', u'The Hours and Times', u'Face/Off', u'Ulysses', u'The Oklahoma Kid', u'Queenie, the Star of Calcutta', u'', u'A Touch of Class', u'Cosi', u"A Hard Day's Night", u'Royal Flash', u'Fabula de la Bella Palomera', u'Stop Train 349', u'RU:', u'The Apple Dumpling Gang Rides Again', u'The Loves of Don Juan', u'Le Grand Blond avec une Chaussure Noire', u'Desperate Remedies', u'Fly Away Home']
John Howard;[u'The Invisible Woman', u'Lost Horizon', u'The Philadelphia Story', u'Three Girls About Town', u'Thirteen Hours by Air', u'Love From A Stranger', u'The Mad Doctor']
Gabriella Roel;[u'Old Gringo']
Otto Sandler;[u'Wings of Desire']
Vodie CurtisHall;[u'Coming to America']
Rick Jason;[u'Eagles Attack at Dawn']
Carol Christensen;[u'The Three Stooges in Orbit', u'The Big Show']
JeanPierre Melville;[u'A Bout de Souffle', u'Breathless']
Thalmus Rasulala;[u'Cool Breeze']
Doug McGrath;[u'Twilight Zone']
Michael Constantine;[u'North Avenue Irregulars', u'My Life', u'Beau Geste']
Jackie Geason;[u'Orchestra Wives']
Corinne Marchand;[u'Cleo from 5 to 7']
George Costigan;[u'Rita, Sue and Bob Too']
Kate Reid;[u'Invincible Mr. Disraeli', u'Holy Terror', u'Pidgeons', u'Atlantic City', u'Heaven Help Us']
Mavis Staples;[u'Graffiti Bridge']
Robert Dudley;[u'The Palm Beach Story']
Anne Bancroft;[u'Great Expectations', u'To Be or Not To Be', u'The Miracle Worker', u'Show-Biz Nose', u'Elephant Man', u'Antz', u'Malice', u'The Turning Point', u'The Girl in Black Stockings', u'Point of No Return', u'TZ:Lipstick', u'TZ:The Bell Jar', u'Silent Movie', u'TZ:Prisoner of 2nd Avenue', u'The Graduate', u'Agnes of God', u'Torch Song Trilogy', u'Young Winston', u'G.I. Jane', u"I'll Never Forget You", u"Don't Bother to Knock", u'The Hindenburg', u'Critical Care', u'The Slender Thread']
Geraldine James;[u'The Tall Guy']
Brian Mallon;[u'Gettysburg']
Frank McHugh;[u'City for Conquest', u'The Goldiggers of 1935', u'The Mystery of the Wax Museum', u'Dodge City', u'Virginia City', u'Mighty Joe Young', u'Say One For Me', u'Dawn Patrol', u'The Last Hurrah', u'The Velvet Touch', u'Footlight Parade', u'Wings of the Navy', u'Going My Way', u"A Midsummer Night's Dream", u'The Roaring Twenties', u'Back Street', u'One Way Passage', u'All Through the Night', u"There's no Business like Show Business", u'Bullets or Ballots', u'Four Wives']
Jackie Coogan;[u'Sex Kittens go to College', u'The Shakiest Gun in the West', u'The Kid', u'The Joker is Wild', u'The Phantom of Hollywood', u'High School Confidential!', u'Huckleberry Finn', u'Marlowe']
Scott Wilson;[u'The Gypsy Moths', u'In the Heat of the Night', u'The Right Stuff', u'TZ:In Cold Blood', u'Grissom Gang', u'Castle Keep']
Grim Russo;[u'The Four Deuces']
Mona Malm;[u'Fanny and Alexander']
Smaran Ghosal;[u'Aparajito']
Harry Ritz;[u'On the Avenue']
Michael Schiff;[u'Deep Impact']
George White;[u"George White's 1935 Scandals", u'Rhapsody in Blue', u"George White's Scandals"]
Goldwyn Girls;[u'Roman Scandals']
Nancy Sinatra;[u'The Wild Angels']
Louise Fazenda;[u'The Old Maid', u'Alice in Wonderland', u'The Bat', u'Once in a Lifetime']
Juzo Itami;[u'55 Days at Peking', u'Lord Jim', u'The Family Game']
Lovelady Powell;[u'The Happy Hooker']
Ingrid Bergman;[u'Anastasia', u'The Visit', u'Casablanca', u'Gaslight', u'Intermezzo', u'Adam Had Four Sons', u'Cactus Flower', u'Walpurgis Night', u"A Woman's Face", u'Dollar', u'Only One Night', u'Spellbound', u'Notorious', u'Under Capricorn', u'Autumn Sonata', u'El\xe9na et les Hommes', u'Arch of Triumph', u"The Bells of St. Mary's", u'Inn of the Sixth Happiness', u'June Night', u'Stromboli', u'A Trip To Italy', u'Fear', u'Murder on the Orient Express', u'Indiscreet', u'For Whom the Bell Tolls', u'Saratoga Trunk', u'Dr. Jekyll and Mr. Hyde', u'Joan of Arc', u'A Matter of Time', u'Rage in Heaven']
Etta Moten;[u'Flying Down to Rio']
Joseph Schildkraut;[u'Suez', u'The Three Musketeers', u"Idiot's Delight", u'The Rains Came', u'The King of Kings', u'Cleopatra', u'Orphans of the Storm', u'The Shop around the Corner', u'His People', u'Monsieur Beaucaire', u'Lancer Spy', u'The Diary of Anne Frank', u'The Greatest Story Ever Told', u'The Man in the Iron Mask', u'Mr. Moto Takes a Vacation', u'The Son of Frankenstein', u'The Life of Emile Zola']
Hector Ubarry;[u'Crocodile Dundee II']
Roger Hanin;[u'He Who Must Die', u'Rocco and His Brothers']
Nat King Cole;[u'Saint Louis Blues', u'Cat Ballou', u'Small Town Girl']
Sebastian Shaw;[u'High Season']
Olek Krup;[u'Nine 1/2 Weeks']
James Caan;[u'Honeymoon in Vegas', u'The Dark Backward', u'Poodle Springs', u"TZ:Brian's Song", u'The Rain People', u'The Godfather', u'The Godfather, Part II', u'Alien Nation', u'Funny Lady', u'TZ:Hide in Plain Sight', u'The Gambler', u'Silent Movie', u'TZ:Thief', u'TZ:Harry and Walter Go to New York', u'For the Boys', u'Rollerball', u'A Bridge Too Far', u'Countdown', u'Chapter Two', u'Misery', u'Kiss Me Goodbye', u'TZ:Freebie and the Bean', u'Killer Elite', u'Flesh and Bone', u'Dick Tracy']
Sam Raimi;[u'Indian Summer']
Juliette Greco;[u'El\xe9na et les Hommes', u'Crack in the Mirror']
Susan Peters;[u'The Sign of the Ram', u'Random Harvest']
Paul Cavanagh;[u'The Kennel Murder Case', u'Night and Day', u'Tarzan and his Mate', u'The Verdict', u'Magnificent Obsession', u'Maisie Was a Lady', u'Grumpy', u'A Bill of Divorcement', u'Rogues of Sherwood Forest', u'Within the Law', u'The Hard Way']
Judy Canova;[u'The Adventures of Huckleberry Finn', u'Party Line', u'Cannonball']
Richard Harris;[u'TZ:Golden Rendezvous', u'The Wild Geese', u"Smilla's Sense of Snow", u'Unforgiven', u'A Man Called Horse', u'Trojan Edge', u'The Cassandra Crossing', u'Hawaii', u'Tarzan, The Ape Man', u'TZ:The Bible', u'TZ:Triumphs of a Man Called Horse', u'Camelot', u'The Field', u'Cromwell', u'This Sporting Life', u'Mutiny on the Bounty', u'The Wreck of the Mary Deare', u'Orca the Killer Whale', u'The Molly Macguires', u'TZ:Highpoint', u'Patriot Games', u"Gulliver's Travels", u'Wrestling Ernest Hemingway', u'The Last Word', u'Juggernaut', u'Robin and Marian', u'TZ:Major Dundee', u'Silent Tongue']
Alberto Nepoti;[u'Tigre Reale']
Paloma Picasso;[u'Immoral Tales']
Adrianne Allen;[u'The October Man']
Hans Alfredson;[u'The Adventures of Picasso']
Lisa Eichhorn;[u"TZ:Cutter's Way", u'The Europeans', u'King of the Hill']
Mackenzie Astin;[u'The Last Days of Disco']
Charles Butterwoth;[u"The Moon's Our Home"]
David Spade;[u'PCU', u'Coneheads', u'Senseless']
Crysstyn Dante;[u'Last Call']
Shelly Berman;[u'The Best Man']
Richard Mayes;[u'Hero']
Edward Binns;[u'Vice Squad', u'Night Moves', u'Twelve Angry Men', u'Fail Safe', u'The Verdict']
Essy Person;[u'Vibration']
Leila Hyams;[u'Island of Lost Souls', u'The Big Broadcast', u'The Big House', u'Red-headed Woman', u'Ruggles of Red Gap', u'Freaks']
Patrick Stewart;[u'Dune', u'Excalibur', u'Star Trek: First Contact', u'Star Trek: The Insurrection', u'Robin Hood: Men in Tights', u'L.A. Story', u'Masterminds', u'Conspiracy Theory', u'Hedda', u'Lady Jane', u'Pagemaster', u'Safe Home']
Marjane;[u'El\xe9na et les Hommes']
Chico Mendes;[u'Amazonia: Voices from the Rainforest']
Jose GonzalesGonzales;[u'The Mermaids of Tiburon', u'Aqua Sex']
Julia Dean;[u'The Curse of the Cat People']
Madelaine Lebeau;[u'Otto e Mezzo']
Johny Lever;[u'Ishq']
Paul Bildt;[u'Die Verufenen']
Fernando Guillén;[u'Women on the Verge of A Nervous Breakdown']
Sam Elliott;[u'Sibling Rivalry', u'Tombstone', u'The Big Lebowski', u'Rush', u'Gettysburg', u'Roadhouse']
John Buckler;[u'David Copperfield', u'Tarzan Escapes']
Shirley Eaton;[u'Around the World Under the Sea', u'Goldfinger', u'Carry On Sergeant', u'Kiss and Kill', u'Three Men in a Boat']
Gerald Cross;[u'Murder She Said']
Diane Kay;[u'TZ:1941']
Robert Dhéry;[u"Le `Petit Baigneur'"]
Connie Francis;[u'Where the Boys Are']
Heio vonStetten;[u'Das Merkwuerdige Verhalten geschlechtsreifer Grossstaedter zur Paarungszeit']
Margaret Wycherly;[u'The Man Without a Cloak', u'Random Harvest']
Cab Colloway;[u'The Singing Kid', u'Hi de Ho', u'Jitterbig Party']
Aurore Prieto;[u'Therese']
R.H. Thompson;[u'The Quarrel']
Maria Mercader;[u'Hello, Elephant']
Bill Bramley;[u'West Side Story']
Joseph Wiseman;[u'Journey into Fear', u'The Betsy', u'The Unforgiven', u'Bye Bye Braverman', u'Dr. No', u'Detective Story']
Thandie Newton;[u'Flirting', u'Beloved', u'Jefferson in Paris', u"Gridlock'd"]
Amy Johnson;[u'The Buddy Holly Story']
W. Bishop;[u'Shall We Dance']
Kitty Carlisle;[u'She Loves Me Not', u'Here Is My Heart', u'A Night at the Opera']
Leon Head;[u'Vampire Vixens from Venus']
Park Jong Soo;[u'TZ:Search and Destroy']
Jim Riggs;[u'The Freshman', u'Dr. Jack', u"Grandma's Boy", u'Why Worry', u'Hot Water', u"For Heaven's Sake", u'Speedy']
x Constantine;[u'The Juror']
Jay Leno;[u'Wag the Dog', u'American Hot Wax']
William Lugg;[u'The Old Curiosity Shop']
Albert Sharpe;[u"TZ:Darby O'Gill and the Little People", u'Royal Wedding']
Edward Trevor;[u'Way Down East']
Colette Miller;[u'Alien 2']
Philip Holmes;[u'An American Tragedy']
Sally Rand;[u'The King of Kings', u'Bolero']
Tom Wood;[u"Ulee's Gold"]
Aud Egede Nissen;[u'Anna Boleyn']
Joe Carberry;[u'Short Eyes']
Tom Smothers;[u'TZ:Serial', u'TZ:Silver Bears']
Brian Austin Green;[u'Kid']
Thelma Ritter;[u'A Hole in the Head', u'Miracle on 34th Street', u'Rear Window', u'How the West Was Won', u'TZ:Birdman of Alcatraz', u'The Misfits', u'All About Eve', u'Titanic', u'Daddy Longlegs', u'Pillow Talk', u'A New Kind of Love']
Sidney Howard;[u'TZ:Gone With the Wind']
Lana Marconi;[u'Versailles', u"Si Paris m'etait cont\xe9"]
Harold Gary;[u'The French Connection']
Inez Courtney;[u'The Shop around the Corner', u'Suzy', u'Big City Blues']
Tom Butler;[u'The Long Way Home']
Bill Ihnen;[u'Edith Head']
Bob Wills;[u'Thunder in Dixie']
Victor Wang;[u'Eat a Bowl of Tea']
Stanley Tucci;[u'The Daytrippers', u'Undercover Blues', u'The Public Eye', u'Prelude to a Kiss', u'Blaze', u'Big Night', u'The Impostors']
Alejandro Rey;[u'TZ:Rita Hayworth: The Love Goddess', u'TZ:Moscow on the Hudson', u'TZ:Cuba']
Chief Dan George;[u'Little Big Man', u'The Outlaw Josey Wales', u'Harry and Tonto']
Christophe Malavoy;[u'The Cry of the Owl']
Brian Bremer;[u'Dangerous Toys']
Dave A. Stewart;[u'Deep Blues']
A.Soto Rangel;[u'The Treasure of the Sierra Madre']
William Devlin;[u'Jamaica Inn']
Robin Harris;[u'House Party', u'Do The Right Thing']
Lili St.Cyr;[u'I, Mobster']
Dayton Ka'ne;[u'Hurricane']
Florence Lake;[u'Romance']
Joseph Kirk;[u'Abbott and Costello Lost in Alaska']
Wayne Maunder;[u'The Seven Minutes']
Peter Donat;[u'Skin Deep', u'The China Syndrome', u'TZ:Return Engagement']
William Add;[u'Manhattan Murder Mystery']
Sandor Eles;[u'Countess Dracula']
Jocelyn Lee;[u'The Marriage Playground']
Brooke Smith;[u'Vanya on 42nd Street']
Robert F. Logan;[u'TZ:Mountain Family Robinson', u'Adventures of the Wilderness Family']
Shari Shattuck;[u'Dead On']
Jeremiah Sullivan;[u'The Soldier']
Marion Martin;[u'The Big Street']
Maurice Roeves;[u'The Last of the Mohicans']
Keith Andes;[u'Clash by Night', u'Blackbeard the Pirate']
Raymond Huntley;[u'The Night Train to Munich', u'The Way Ahead', u'I see a Dark Stranger', u'Passport to Pimlico', u'The Mummy']
Mary Kay Place;[u'The Rainmaker', u'Pecker', u'TZ:Modern Problems', u'Big Chill']
Eric Schweig;[u'The Last of the Mohicans']
Betta St.John;[u'The Student Prince', u'Dream Wife']
Ben Bernie;[u'Wake Up and Live', u'Shoot the Works']
John Terry;[u'Of Mice and Men']
Elisabeth NeumannViertel;[u'Cabaret']
Sarah Holcomb;[u'Caddyshack']
Andy Braugher Bucher;[u'Primal Fear']
Andreas Voutsina;[u'The Producers']
Christopher Martin;[u'House Party II']
Rise Stevens;[u'Going My Way', u'The Chocolate Soldier']
Buddy Ebsen;[u"Breakfast at Tiffany's", u'Captain January', u'Red Garters', u'Banjo on my Knee', u'TZ:Davy Crockett', u'TZ:Davy Crockett and the River Pirates', u'Night People', u'The Beverly Hillbillies', u'Born to Dance', u'Broadway Melody of 1936', u'The Girl of the Golden West']
Alisan Porter;[u'Curly Sue']
Judy Toll;[u'Skin Deep']
Egon Brecher;[u'Black Legion', u'The Black Cat']
John Greenwood;[u'TZ:Mysterious Island']
David Douche;[u'La vie de Jesus']
Erin Moran;[u'TZ:Galaxy of Terror']
Lock Martin;[u'The Day the Earth Stood Still']
Tommy Steele;[u"Finian's Rainbow", u'Half a Sixpence', u'The Happiest Millionaire']
Michael Winslow;[u'Police Academy 5', u'Police Academy 6']
Vanni Corbellini;[u'The Belly of an Architect']
John Friedrich;[u'TZ:The Wanderers']
Sabine Haudepin;[u'Jules et Jim', u'La peau douce']
Nigel Green;[u'The Face of Fu Manchu', u'Countess Dracula']
Heath Lamberts;[u'TZ:To Kill a Clown']
Bill Lee;[u"She's Gotta Have It", u"`Mo' Better Blues"]
Yvonne Shima;[u'Dr. No']
Jim Mitchum;[u'Girls Town']
Kenneth Cranham;[u'Brother Sun, Sister Moon']
Natsuko Ohama;[u'Speed']
Larry Maxwell;[u'Poison']
Carlos Navarro;[u'The Brave One']
John Nettleton;[u'Burning Secret']
Jackie Chan;[u'Rush Hour', u'The Cannonball Run', u'Police Story', u'Police Story II', u'The Protector', u'Police Story III: Supercop', u'Drunken Master', u'Rumble in the Bronx']
Mort Zuckerman;[u'Funny']
Susan Shentall;[u'Romeo and Juliet']
Ralph Peters;[u'The Rose Garden']
Terence Right;[u'Testimony']
Dan Dailey;[u'The Getaway', u'My Blue Heaven', u'The Private Files of J. Edgar Hoover', u'The Tender Poisoner', u'Ziegfeld Girl']
Pete Postlewhite;[u'Distant Voices, Still Lives']
Norma Aleandro;[u'Cousins']
Cecil Trouncer;[u'The Guinea Pig']
Harry Hutchinson;[u'River of Unrest']
Greer Garson;[u'Invincible Mr. Disraeli', u'Julius Ceasar', u'Random Harvest', u'Desire Me', u'The Happiest Millionaire', u'Pride and Prejudice', u'Goodbye Mr. Chips', u'Mrs. Parkinton', u'Sunrise at Campobello', u'Mrs. Miniver']
Victor Kilian;[u'Virginia City']
Franz Lederer;[u'Die B\xfcchse der Pandora']
Michael Downs;[u'Star Trek: The Insurrection']
Joe Vitale;[u'The Paleface']
Ulf Friberg;[u'Jerusalem']
Joe Gibbons;[u'The Genius']
Laura Hope Crews;[u'If I Were Free', u'Camille', u'The Silver Cord', u'Gone With the Wind']
June Travis;[u'Earthworm Tractors']
Thomas Guiry;[u'Lassie']
Doris Kuntsman;[u'Happy Birthday, Torke!']
Natasha Parry;[u'Midnight Lace']
Maria CaseriniGasperini;[u'Love Everlasting']
Victor Moore;[u'The Seven Year Itch', u'Swing Time', u'Make Way for Tomorrow', u'Ziegfeld Follies']
Ed Lauter;[u'Raven Hawk', u'The Chicken Chronicles', u'Family Plot', u'King Kong', u'TZ:Cujo', u'Magic', u'Finders Keepers', u'The Midnight Man', u'The Longest Yard', u'TZ:Lassiter', u'TZ:Timerider "The Adventure of Lyle Swann"']
Leora Dana;[u'3:10 to Yuma', u'Your Witness', u'Change of Habit']
Beatrice Dalle;[u"L'Integrale", u'Night on Earth']
Tom Dodge;[u'Down Periscope']
Rosemary Clooney;[u'White Christmas', u'Red Garters', u'Deep in My Heart']
Frederique Meininger;[u'The Lover']
Christie Hefner;[u'Damned in the U.S.A.']
Farnk Conroy;[u'Charlie Chan in Egypt']
Michel Simon;[u'Saadia', u'The Passion of Joan of Arc', u'The Train', u'La Chienne', u'Boudu Sauv\xe9 Les Eaux', u'Panique', u"L'Atalante", u'Vautrin', u'La Beaut\xe9 du Diable', u'La Poison', u'Les Trois Font la Paire']
Lily Langtry;[u"His Neighbor's Wife"]
Harvey Stephens;[u'Maid of Salem', u'The Oklahoma Kid', u'The Omen', u'The Murder Man']
Christopher Walken;[u'King of New York', u'TZ:The Dead Zone', u'TZ:Brainstorm', u'Antz', u'Mouse Hunt', u'Pennies from Heaven', u'A View to a Kill', u'TZ:The Dogs of War', u'Last Embrace', u'Basquiat', u'Excess Baggage', u'The Deer Hunter', u"Heaven's Gate", u'The Comfort of Strangers', u'Touch', u'Pulp Fiction', u'The Milagro Beanfield War', u"Wayne's World 2", u'Batman Returns', u'True Romance']
Louise Albritton;[u'Son of Dracula']
Susanne Benton;[u'TZ:A Boy and His Dog']
Jaqueline White;[u'Swing Shift Maisie']
Lorretta Devine;[u'Urban Legend', u'Dreamgirls']
Marcelline Day;[u'The Wild Party']
Rex Bell;[u'True to the Navy']
Zack Braff;[u'Manhattan Murder Mystery']
Eileen Davidson;[u'TZ:The House on Sorority Row']
James Staley;[u'Protocol', u'Sweet Dreams']
Peter Murray Hill;[u'The Ghost Train']
Artur Franz;[u'Sands of Iwo Jima']
Clint Howard;[u"Rock 'N Roll High School", u'Dangerous Toys', u'Cocoon', u'EDtv']
Burgess Meredith;[u'Castle on the Hudson', u'San Francisco Docks', u'Winterset', u'TZ:Golden Rendezvous', u"Idiot's Delight", u'Foul Play', u'Burnt Offerings', u'Clash of the Titans', u'Wet Gold', u'Madame X', u'Grumpy Old Men', u'Jigsaw', u'Tom, Dick and Harry', u'Rocky', u'The Day of the Locust', u'Beware! The Blob', u'King Lear', u"TZ:MacKenna's Gold", u'The Diary of a Chambermaid', u'Batman', u'Of Mice and Men', u'Advise and Consent', u'The Cardinal', u'Such Good Friends', u'Stay Away, Joe', u'Magic', u'TZ:The Hindenburg', u'Rocky III', u'True Confessions', u'TZ:The Manitou']
Fritz Wepper;[u'Cabaret']
Arthur Space;[u'A Man Alone']
Anna Pavane;[u'Portrait in Terror']
Timothy Carl Carol?;[u'Beverly Hills Cop 3']
David McLean;[u'The Strangler']
Chalie Martin Smith;[u'I Love Trouble']
Tippy Walker;[u'TZ:The World of Henry Orient']
Shirley Ross;[u'Some Like It Hot', u'The Big Broadcast of 1937', u'The Big Broadcast of 1938']
Erin OBrienMoore;[u'Black Legion', u'Our Little Girl']
Stockard Channing;[u'Six Degrees of Separation', u'Practical Magic', u'TZ:Without a Trace', u'Up Close and Personal', u'TZ:The Big Bus', u'The Fortune', u'Heartburn', u'Moll Flanders', u'Grease', u'Twilight', u'Meet the Applegates']
Irene Fox;[u'Patriot Games']
Jonathan Kahn;[u'TZ:Sailor Who Fell from Grace With the Sea']
Julian Sand;[u'Impromptu']
George Lazenby;[u"On Her Majesty's Secret Service"]
Jean Rogeul;[u'Otto e Mezzo']
Joseph Marcell;[u'Cry Freedom']
Bob Burns;[u'Wells Fargo', u'The Big Broadcast of 1937']
Tom Towles;[u'Henry: Portrait of a Serial Killer', u'Mad Dog and Glory']
Hoyt Ashton;[u'Gremlins']
Rosalind Ivan;[u'The Verdict', u'Scarlet Street', u'The Corn is Green']
Maximiliam Schell;[u'The Phantom of the Opera']
Joel Grey;[u'Cabaret', u'The Seven-Per-Cent Solution', u'The Music of Chance', u"Buffalo Bill and the Indians, or Sitting Bull's History Lesson"]
James Burke;[u'Great Guy', u'The Maltese Falcon', u'Ruggles of Red Gap', u'Dead End']
Bjorn Sundquist;[u"Thrane's Method"]
Christine Lahti;[u'Just Between Friends', u'Leaving Normal', u'Swing Shift', u'Funny About Love', u'The Doctor', u'The Henderson Monster', u'Kiss of Death']
Kelly Macdonald;[u'Trainspotting', u'Cousin Bette']
Treat Williams;[u"The Devil's Own", u'Where the River Flows North', u'Hair', u'Once Upon A Time in America', u'The Phantom', u'TZ:Prince of the City', u'TZ:1941', u'Handgun', u'TZ:Flashpoint']
Naomi Campbell;[u'Miami Rhapsody']
Kevin Karson;[u'The Untouchables']
Daniel Celin;[u'Her Bridal Night']
Elana Verduge;[u'Frankenstein Meets the Wolf Man']
Akiko Wakabayashi;[u'TZ:You Only Live Twice']
John Agar;[u'Sands of Iwo Jima', u'Daughter of Dr. Jekyll', u'Hand of Death', u'She Wore a Yellow Ribbon', u'The Golden Mistress', u'Zontar, The Thing from Venus']
Corin Redgrave;[u'In the Name of The Father', u'Four Weddings and a Funeral']
Russel Veigh;[u'Armee der Lievenden oder Aufstand der Perversen']
John Amos;[u'TZ:The Beastmaster', u'Coming to America', u'Vanishing Point', u"TZ:Let's Do it Again"]
Derek Jacobi;[u'Little Dorrit', u'The Tenth Man', u'Interlude', u'Henry V', u'Dead Again', u'Hamlet', u'The Human Factor', u'Othello']
Vanity;[u'Action Jackson', u'52 Pickup']
Loles Leon;[u'Tie Me Up, Tie Me Down']
Mario Gallo;[u'The Laughing Policeman']
Charles McGraw;[u'Cimarron', u'His Kind of Woman', u'The Bridges at Toko-Ri', u'Chandler', u'The Narrow Margin', u'Once More My Darling', u'The Killers', u'Diagnosis: Danger', u'Spartacus', u"Hang 'Em High"]
Maurice Cstello;[u'A Tale of Two Cities']
Ben Carruthers;[u'Riot', u'Shadows']
Giacomo RossiStuart;[u'The Snow Devils', u'The Last Man on Earth']
Tom Curry;[u'Home Alone 2: Lost in New York']
Jenny Hanley;[u"On Her Majesty's Secret Service"]
Fanny Brice;[u'The Great Ziegfield', u'Be Yourself']
Ivor Novello;[u'The Constant Nymph', u'The Lodger: A Story of The London Fog', u'Downhill', u'The Lodger']
Ewen Bremner;[u'Trainspotting']
Judith Drake;[u'Tales of Ordinary Madness']
Larry Blyden;[u'The Bachelor Party', u'Wally the Beard']
Valentine Camax;[u"Monsieur Hulot's Holiday"]
Steve Geray;[u'The Moon and Sixpence', u'Little Egypt', u'Spellbound', u'So Dark the Night', u'Knock on Wood', u'Night Plane from Chungking']
Henry Wadsworth;[u'The Big Broadcast of 1936', u'Applause']
Joe Harris;[u'Marked Men']
Hidetaka Yoshioka;[u'What A Life! My Uncle Tora']
Eric Pohlman;[u'Cairo']
